session_id,question_number_in_session,question_index_in_dataset,mode,seed,start_index,question,model_answer,ground_truth_aliases,is_correct,elapsed_time_seconds,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,energy_joules_estimate
20260610_133821,1,234,ordered,,234,What is the fastest animal on two legs?,The cheetah.,"[""Ostrich farms"", ""An Ostrich"", ""Ostrich Egg"", ""Ostriches"", ""Struthio camelus"", ""Ostrage"", ""Common Ostrich"", ""Ostrich farming"", ""Masai Ostrich"", ""Ostritch"", ""Common ostrich"", ""Osterich"", ""Ostrish"", ""Struthious"", ""Osterish"", ""Ostrich"", ""Ostrich farm"", ""Ostridge"", ""Ostrich Racing"", ""Ostrich race"", ""Ostrich meat"", ""Ostrich farmer""]",False,1.069,6685.0,32607.0,147.84,158.0434
20260610_133821,2,235,ordered,,234,What is the green pigment used by plants to trap sunlight?,Chlorophyll,"[""C55H70O6N4Mg"", ""Chlorophyll"", ""Chorophyll"", ""C55H72O5N4Mg"", ""Chlorophyl"", ""Chlorophylls"", ""Chlorophyllose"", ""Chlorafil"", ""E140 (E number)"", ""Chlorophyllous"", ""C35H30O5N4Mg"", ""Leaf-green"", ""Clorophyl"", ""C54H70O6N4Mg"", ""Chlorophil"", ""Clorofill"", ""Leafgreen"", ""Cholorophyll"", ""Cholorophyl"", ""Leaf green"", ""C35H28O5N4Mg""]",True,0.7314,6685.0,32607.0,175.99,128.716
20260610_133821,3,236,ordered,,234,What id the name given to the study of birds?,Ornithology,"[""Ornothology"", ""Study of Birds"", ""Ornithology"", ""Science of birds"", ""Ornithologist"", ""Ornithologically"", ""Ornithological"", ""History of ornithology"", ""Birdlore"", ""Ornithologic"", ""Orthinology"", ""Bird watching towers"", ""Ornathology""]",True,0.7302,6685.0,32607.0,175.58,128.208
20260610_133821,4,237,ordered,,234,"Of which reptile are there only two species, one living in the Mississippi and the other in China?",Alligator,"[""Alligator"", ""Alligators"", ""Aligator""]",True,0.728,6687.0,32607.0,175.94,128.0781
20260610_133821,5,238,ordered,,234,"What type of seaweed grows up to 100 meters in length, and is farmed for its alginates?",Kelp,"[""Laminariales"", ""Kelp"", ""Kelps""]",True,0.7213,6687.0,32607.0,177.27,127.8642
20260610_133821,6,239,ordered,,234,Where in a vertebrate would you find the protein myoglobin?,In the muscle cells of vertebrates,"[""Muscle tissue""]",False,0.7291,6685.0,32607.0,177.9,129.7112
20260610_133821,7,240,ordered,,234,"What is the most abundant substance in the plant kingdom, which no mammal produces the enzyme to digest?",Cellulose,"[""E460"", ""Rosette terminal complex"", ""Cellulosic"", ""Cellulolysis"", ""Cellulose ester"", ""Cellulolytic"", ""Cellulose"", ""Cellulolysys"", ""Tunicin"", ""Tunicine""]",True,0.7313,6687.0,32607.0,176.25,128.8969
20260610_133821,8,241,ordered,,234,"Which family of insects has species named 'drivers', 'weavers', 'and even individuals called 'soldiers'?",Wasps,"[""History of ants"", ""Giant ant"", ""Ant trail"", ""Worker ant"", ""Drone Ant"", ""Ants"", ""Formicidae"", ""Ant"", ""Ants communication"", ""Ergate"", ""Ant trails"", ""🐜""]",False,0.7294,6687.0,32607.0,176.58,128.7963
20260610_133821,9,242,ordered,,234,What name is given to the study of animal behavior?,Ethology,"[""Animal behavior"", ""Behavioural biology"", ""Behavioral Biology"", ""Social ethology"", ""Animal behaviorist"", ""Behavior (biology)"", ""Natural Behavior"", ""Ethological"", ""Animal Learning"", ""Behaviour (biology)"", ""Ethography"", ""Animal behaviour"", ""Animal Behavior"", ""Ethology"", ""Bestial Instinct"", ""Animal Behaviour"", ""Ethologist"", ""History of ethology"", ""Behavioral biology"", ""Behavior, animal"", ""Ethologists"", ""Etology""]",True,0.723,6685.0,32607.0,178.01,128.7027
20260610_133821,10,243,ordered,,234,Mosses are classified as belonging to which part of the plant kingdom?,Bryophyta,"[""Bryophyta (disambiguation)"", ""Bryophyta""]",True,0.7257,6685.0,32607.0,177.45,128.7842
20260610_133821,11,244,ordered,,234,"Which rodent rears its young, called kittens, in a nest called a drey?",Squirrel,"[""Skiouros"", ""Squirrell"", ""Squirell"", ""Squirel"", ""Scuridae"", ""Eichhornchen"", ""Squirl"", ""Squirrels"", ""Eichhoernchen"", ""Sciuridae"", ""Eichhörnchen"", ""Rats with bushy tails"", ""Scuiridae"", ""Squirrel"", ""Bushy tailed tree rat"", ""Bigtail rat"", ""Sciurid"", ""Squirrl""]",True,0.7291,6687.0,32607.0,176.87,128.9474
20260610_133821,12,245,ordered,,234,What has a central vein called a midrib?,A leaf,"[""Adaxial"", ""Leaf"", ""Venatious"", ""Leavedly"", ""Midrib"", ""Veinlets"", ""Leafiness"", ""Opposite (botany)"", ""Leaf margin"", ""Leaf axils"", ""Leafedly"", ""Leaf veins"", ""Vein in Plants"", ""True leaves"", ""Mucro"", ""Basal leaf"", ""Spongy layer"", ""Abaxial"", ""Simple leaf"", ""Complex leaves"", ""Leaf margins"", ""Foilage"", ""Lepidote"", ""Parallel venation"", ""Leaf axil"", ""Hysteranthy"", ""Foliar"", ""Crenate"", ""Leaf sheath"", ""Compound leaves"", ""Complex leaf"", ""Leaf (botany)"", ""Dentate leaf"", ""Compound leaf"", ""Big-leafed"", ""Oblanceolate"", ""Elepidote"", ""Foliages"", ""Leaves"", ""Pinnately compound"", ""Megaphylls"", ""Simple (leaf)"", ""Leaves (botany)"", ""Mesophyll tissue"", ""Vein (botany)"", ""Elepidotes"", ""Foliage"", ""Axils"", ""Opposite (leaf)"", ""Axil"", ""Alternate (leaf)"", ""Leafily"", ""Plant leaves"", ""Alternate leaf"", ""Clasping"", ""Leafage"", ""Reticulate venation"", ""Leaf vein"", ""Alternate (botany)"", ""Mesophyll cell"", ""Simple leaves"", ""Leaf anatomy"", ""Simple (botany)""]",True,0.7303,6685.0,32607.0,176.01,128.5326
20260610_133821,13,246,ordered,,234,"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver,"[""Beaverdams"", ""Beaver house"", ""Beavers"", ""Beaver pelt"", ""Beever"", ""Salt water beavers"", ""Beaverdam (habitat)"", ""Beaver"", ""Castor (zoology)"", ""Castor (genus)"", ""Beaver lodge"", ""Beaver houses""]",True,0.7209,6687.0,32607.0,177.16,127.7153
20260610_133821,14,247,ordered,,234,What is the generic word for plants that grow in water or water-logged conditions?,Hydrophytes,"[""Hydrophyte"", ""Submersed aquatic vegetation"", ""Submerged aquatic vegetation"", ""Aquatic plant"", ""Submerged Aquatic Vegetation"", ""Hydrophytes"", ""Aquatic plants"", ""Water plant"", ""Aquatic vegetation"", ""Aquatic weed"", ""Hydrophytic plant""]",True,0.7247,6687.0,32607.0,179.12,129.8155
20260610_133821,15,248,ordered,,234,"Which teeth are the third molars, and are always the last to0 erupt?",Wisdom teeth,"[""Wisdom-tooth"", ""Wisdom teeth"", ""Third maxillary molar"", ""Wisdom Teeth"", ""3rd molar"", ""Molar, third"", ""Impaction (dental)"", ""Third mandibular molar"", ""Wisdom Tooth"", ""Maxillary third molar"", ""Impacted molar"", ""Third molar"", ""Wisdom tooth"", ""Third molar tooth"", ""Mandibular third molar""]",True,0.7304,6687.0,32607.0,182.66,133.4074
20260610_133821,16,249,ordered,,234,What is secreted by the pancreas to regulate blood sugar levels?,Insulin,"[""Insulin antagonists"", ""Human Mixtard"", ""Insulin recombinant purified human"", ""INS (gene)"", ""Insulin Human"", ""C65R"", ""Insulin recombinant human"", ""C257H383N65O77S6"", ""Insulin purified pork"", ""Actraphane"", ""Insulin zinc susp recombinant human"", ""Insuline"", ""Insulin zinc susp prompt beef"", ""Insullin"", ""Insulin zinc susp semisynthetic purified human"", ""Insulin aspart recombinant"", ""B10H"", ""Insulin purified beef"", ""Insulin gene"", ""Insulin zinc susp extended recombinant human"", ""Aktrapid"", ""Oral insulin"", ""Insulin zinc susp purified pork"", ""Human mixtard"", ""Insulin zinc susp extended beef"", ""Insulin zinc susp extended purified beef"", ""Insulin release"", ""Insulin zinc susp purified beef"", ""Actrapid"", ""Insulin glargine recombinant"", ""Insulin zinc susp prompt purified pork"", ""Insulin pork"", ""Iletin i (beef-pork)"", ""Iletin II"", ""Insulin zinc susp beef"", ""Mixtard"", ""Insulin, porcine"", ""Insulin""]",True,0.7298,6685.0,32607.0,178.32,130.133
20260610_133821,17,250,ordered,,234,How many chambers has the heart?,4,"[""Four"", ""four"", ""4""]",True,0.7199,6685.0,32607.0,180.49,129.9438
20260610_133821,18,251,ordered,,234,What is the name of the large buttock and thigh muscle?,Gluteus maximus,"[""Gluteus maximus muscles"", ""Glutei maximi"", ""Gluteus maximus"", ""Gluteaus maximus"", ""Glutaeus maximus muscle"", ""Musculus glutaeus maximus"", ""Glute"", ""Glutius maximus"", ""Gluteus Maximus"", ""Musculus gluteus maximus"", ""Glutes"", ""Glutis maximus"", ""Gluteus maximus muscle"", ""Glutæus maximus"", ""Glutaeus maximus"", ""Glutæus maximus muscle""]",True,0.729,6685.0,32607.0,177.65,129.5121
