session_id,num_questions,mode,seed,start_index,question_number_in_session,question_index_in_dataset,question,model_answer,ground_truth_aliases,is_correct,send_request_time,network_latency,receive_response_time,client_total_time,processing_non_inference_time,inference_time,cloud_total_time,communication_time,computation_time,api_total_time,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,energy_joules_estimate
20260701_152243,100,random,46,,1,2502,What in the human body are enclosed in the Pleura ?,The lungs,"[""Pulmonary surgical procedures"", ""Pulmanary"", ""Bird lung"", ""Pulmo"", ""Alveolar sacs"", ""Bellows lung"", ""Superior lobe of left lung"", ""Inferior lobe of left lung"", ""Pulmones"", ""LUNGS"", ""Pulmonarily"", ""Avian lungs"", ""Lung"", ""Pulmonary gas exchange"", ""Lungs"", ""Pulmo sinister"", ""Pulmonary"", ""Inferior lobe"", ""Nonrespiratory functions of the lungs"", ""Lunged"", ""Circulatory lung""]",True,0.0,0.4352,0.0003,0.4356,0.0155,0.2728,0.2883,0.4356,0.2883,0.7239,5642.0,32607.0,135.95,37.09
20260701_152243,100,random,46,,2,13107,"In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?",Wrestling,"[""Prize fight"", ""Prize fighting"", ""Fistfighting"", ""Corner men"", ""Corner persons"", ""Prize-fighter"", ""Noble art"", ""Boxing"", ""Sports boxing"", ""Western boxing"", ""English boxing"", ""Boxing match"", ""Fistfight"", ""Cornermen"", ""Prizefighter"", ""Low guard"", ""Boxing (sport)"", ""Boxing moves"", ""Corner-man"", ""Cornerpersons"", ""Pugilism"", ""Corner-person"", ""Fist fight"", ""Boxing punches"", ""Round (boxing)"", ""Pugilist"", ""Boxer"", ""Fist-fighting"", ""Gentleman's sport"", ""Fist-fight"", ""拳闘"", ""Cornerperson"", ""Prizefights"", ""History of professional boxing"", ""Corner-persons"", ""Fist fighting"", ""Prize fighter"", ""Boxers"", ""Parrying (boxing)"", ""History of boxing"", ""Fist Fighting"", ""Prize Fighter"", ""Pugilistic"", ""Corner-men"", ""Corner person"", ""Ring second"", ""Hit and Away"", ""Boxing Styles and Techniques""]",False,0.0,0.8057,0.0003,0.8061,0.0152,0.2726,0.2878,0.8061,0.2878,1.0939,5642.0,32607.0,126.85,34.5824
20260701_152243,100,random,46,,3,1309,The Suez Canal joins the Red Sea and which other body of water?,The Mediterranean Sea,"[""Mediterranian"", ""Meditiranean"", ""West Mediterranean"", ""Mare internum"", ""Pollution of the Mediterranean Sea"", ""Mediteranean"", ""Mediterranean sea"", ""Mediterannean Sea"", ""Mediterranian Sea"", ""Miditerranean"", ""Medaterain"", ""Western Mediterranean"", ""Meditaranian"", ""The Med"", ""Meditterranean sea"", ""Mediterrannean Sea"", ""Mediterranean coast"", ""Mediterannean"", ""Mediteranian"", ""Mediterranium sea"", ""Meditarranean"", ""Mediterain"", ""Med sea"", ""Mediterraenian"", ""Overfishing in the Mediterranean Sea"", ""Mediteranean sea"", ""Mediterranea"", ""Mediterranean Countries"", ""Roman Sea"", ""Méditerranean Sea"", ""Tourism in the Mediterranean region"", ""البحر الأبيض المتوسط"", ""البحر المتوسط"", ""Mediteranean Sea"", ""Sea of Mediterranea"", ""Mediterranean"", ""Medditeranean"", ""Medeterain"", ""Mediterranean Sea"", ""Mediterrannean"", ""Mediterranean Ocean"", ""Roman Mediterranean""]",True,0.0,1.1799,0.0001,1.18,0.0149,0.2733,0.2882,1.18,0.2882,1.4682,5642.0,32607.0,118.41,32.3557
20260701_152243,100,random,46,,4,7488,Which country is separated into two parts by the town of Limbang of Malaysia?,Brunei,"[""Abode of Peace"", ""BRUNEI"", ""Health in Brunei"", ""Burnei"", ""State of Brunei Darussalam"", ""Nation of Brunei, the Abode of Peace"", ""برني دارالسلا"", ""Brunei"", ""Bruneian Sultanate"", ""Brunei Darrussalam"", ""State of Brunei"", ""Brunai"", ""Nation of Brunei"", ""ISO 3166-1:BN"", ""Asia/Brunei"", ""Human rights in Brunei"", ""Brunei Darsussalam"", ""Nation of Brunei, Abode of Peace"", ""Negara Brunei Darussalam"", ""Subdivisions of Brunei"", ""Brunei Darussalam"", ""Administrative divisions of Brunei"", ""Brunei Sultanate"", ""بروني"", ""Legal system of Brunei"", ""State of Brunei, Abode of Peace"", ""Etymology of Brunei""]",True,0.0,0.4899,0.0003,0.4902,0.0149,0.2718,0.2867,0.4902,0.2867,0.7769,5642.0,32607.0,134.94,36.6757
20260701_152243,100,random,46,,5,16899,Charcot-Marie-Tooth disease is an inherited muscle wasting disease affecting which part of the body?,Peripheral nerves,"[""The Legs"", ""The legs"", ""Betty Grable""]",False,0.0,0.4551,0.0004,0.4555,0.0147,0.2723,0.2869,0.4555,0.2869,0.7424,5642.0,32607.0,184.5,50.2336
20260701_152243,100,random,46,,6,4979,What is the name for the outer layer of the Earth?,Crust,"[""Cruſt"", ""Crust (disambiguation)"", ""Crust"", ""Crustal"", ""Crust formation""]",True,0.0,0.4807,0.0003,0.481,0.015,0.2723,0.2872,0.481,0.2872,0.7683,5642.0,32607.0,135.26,36.8248
20260701_152243,100,random,46,,7,17630,"Founded in 1900, in what sport is the Davis Cup played for?",Tennis,"[""Lawn tennis"", ""Tenniz"", ""TenniS"", ""Tenis"", ""Lawn-Tennis"", ""Professional tennis player"", ""Break point"", ""Tennis"", ""Tennis player"", ""Big tennis"", ""Lawn Tennis"", ""Match point (tennis)"", ""Game point"", ""Set point (tennis)"", ""Tennis coaching"", ""Match tiebreak"", ""Championship point"", ""🎾""]",True,0.0,0.6948,0.0003,0.6951,0.0145,0.2743,0.2887,0.6951,0.2887,0.9838,5642.0,32607.0,140.56,38.5497
20260701_152243,100,random,46,,8,1054,In which country would you traditionally see a settlement called a Kibbutz?,Israel,"[""İsrail"", ""ISRAEL"", ""Israeli Republic"", ""Isræl"", ""Medinat Yisrael"", ""מְדִינַת יִשְׂרָאֵל"", ""Istrael"", ""Israeli (nation)"", ""ISO 3166-1:IL"", ""Medinat Israel"", ""Dawlat Isra'il"", ""State of israel"", ""Yisraél"", ""Isra'il"", ""Republic of Israel"", ""دولة إسرائيل"", ""Israel"", ""Israël"", ""Israelim"", ""Medinat Yisra'el"", ""ישראל"", ""State of Israel"", ""יִשְרָאֵל"", ""מדינת ישראל"", ""Dawlat Isrā'īl"", ""Yisra'el"", ""Yisrael"", ""Israeli state"", ""The state of Israel"", ""Jewish Republic"", ""Israil"", ""Jewish Palestine"", ""Etymology of Israel"", ""Isreal"", ""Yisroel"", ""Israyl"", ""Israel (nation)"", ""Modern Israel"", ""Israelian"", ""Hebrew state"", ""M'dinat Yisrael"", ""Israe;"", ""Izrael (state)"", ""Isreael"", ""Isreali"", ""יִשְׂרָאֵל"", ""Medīnat Yisrā'el"", ""Yisroeil"", ""Israel (country)""]",True,0.0,1.6949,0.5128,2.2077,0.0147,0.2724,0.2871,2.2077,0.2871,2.4948,5642.0,32607.0,93.05,25.3455
20260701_152243,100,random,46,,9,995,What is the name of the village druid in the comic strip ‘Asterix’?,Getafix,"[""Unhygienix"", ""Getafix"", ""Mrs Geriatrix"", ""Mrs. Geriatrix"", ""Vitalstatistix"", ""Pirates (Asterix)"", ""Fulliautomatix"", ""Chief's shieldbearers"", ""Characters of Asterix"", ""Mrs. Fulliautomatix"", ""Postaldistrix"", ""Characters in asterix"", ""List of Asterix characters"", ""Iélosubmarine"", ""Flaturtha"", ""Recurring characters in Asterix"", ""Bacteria (comics)"", ""Ocatarinetabellatchitchix"", ""Characters in Asterix"", ""Cacofonix"", ""Impedimenta"", ""Asterix characters"", ""Geriatrix""]",True,0.0,0.4935,0.0004,0.494,0.0151,0.2718,0.2869,0.494,0.2869,0.7809,5642.0,32607.0,123.66,33.6099
20260701_152243,100,random,46,,10,2259,Jazz musician Jelly Roll Morton is associated with which instrument?,Piano,"[""PIANO"", ""The Piano (film)"", ""The Piano""]",True,0.0,0.4322,0.0003,0.4325,0.0141,0.2717,0.2858,0.4325,0.2858,0.7183,5642.0,32607.0,139.3,37.8473
