session_id,num_questions,mode,seed,start_index,question_number_in_session,question_index_in_dataset,question,model_answer,ground_truth_aliases,is_correct,send_request_time,network_latency,receive_response_time,client_total_time,processing_non_inference_time,inference_time,cloud_total_time,communication_time,computation_time,api_total_time,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,energy_joules_estimate
20260624_223202,10,random,44,,1,13386,"Who has been under house arrest for 15 of the past 21 years, and was released from the latest sentence on 13 November 2010?",Aung San Suu Kyi,"[""Daw Suu"", ""Aung Sang Suu Kyi"", ""အောင်ဆန်းစုကြည်"", ""Aung San Suu Kyi"", ""Ang San So Kii"", ""Suu Kyi"", ""Daw Aung San Suu Kyi"", ""Aung san suu kyi"", ""Aung Sun Suu Kyi"", ""Aung San Suu Ki"", ""Aung Suu Kyi"", ""Aung San Sui Kyi"", ""Assk"", ""Aung Sun Su Kyi"", ""Aung San Su Kyi"", ""Daw Aung San Suu Ky"", ""Ang San Su Chee"", ""Aung San Su Ki"", ""ASSK"", ""အောင်ဆန်းစုကြည"", ""Aang san suu kyii"", ""Daw Suu Kyi""]",True,0.0,0.5811,0.0003,0.5814,0.0281,0.5255,0.5537,0.5814,0.5537,1.135,5622.0,32607.0,113.93,59.8747
20260624_223202,10,random,44,,2,17040,238 AD is known in Roman history as the Year of the ........ (how many) Emperors?,4,"[""SIX"", ""six"", ""6""]",False,0.0,0.6024,0.0004,0.6028,0.0274,0.5243,0.5517,0.6028,0.5517,1.1545,5622.0,32607.0,122.28,64.1064
20260624_223202,10,random,44,,3,17759,"Luminol, a chemical that exhibits chemiluminescence, is often used by forensic examiners to try and detect trace amounts of what?",Blood,"[""A blood"", ""Type O blood"", ""AB blood"", ""B type blood"", ""🆎"", ""B blood"", ""A type blood"", ""O blood"", ""Isohaemagglutinin"", ""ABO system"", ""AB0 blood group system"", ""Abo blood type"", ""Type A blood"", ""ABO blood group system"", ""ABO blood system"", ""B antigen"", ""AB0"", ""H substance"", ""ABO blood types"", ""O type blood"", ""ABO blood group"", ""ABO blood groups"", ""A and o"", ""Isohemagglutinin"", ""A antigen"", ""ABO"", ""blood"", ""Substance H"", ""ABO grouping"", ""ABO phenotypes"", ""ABO blood type"", ""Type AB"", ""🅱"", ""🅰"", ""Isohaemagglutinins"", ""Blood type AB"", ""Abo blood group"", ""Abo blood-group system"", ""🅾""]",True,0.0,0.7998,0.0003,0.8001,0.0277,0.5263,0.554,0.8001,0.554,1.3541,5622.0,32607.0,99.9,52.5797
20260624_223202,10,random,44,,4,3822,"Prince Philip, Duke of Edinburgh, was born on which island?",Greece,"[""Corcyra"", ""Corfu"", ""Kerkira"", ""Corfou"", ""Corfiote"", ""Kerkyra"", ""The corfu incident"", ""Kerkira Island, Greece"", ""Island of Corfu"", ""Corfù"", ""Kérkira"", ""Corcyraean"", ""Korfu"", ""Ancient Corcyra"", ""Corfu, Greece""]",False,0.0,0.5159,0.0003,0.5162,0.028,0.5259,0.5539,0.5162,0.5539,1.0701,5622.0,32607.0,120.2,63.212
20260624_223202,10,random,44,,5,5788,Which post in England and Wales is held by Anne Owers?,Chief Inspector of Prisons,"[""Chief inspector of prisons"", ""Her Majesty's Inspectorate of Prisons"", ""Chief Inspector of Prisons"", ""HM Inspector of Prisons"", ""(CHIEF) INSPECTOR OF PRISONS"", ""Her Majesty's Chief Inspector of Prisons"", ""HM Inspectorate of Prisons""]",True,0.0001,0.7748,0.0003,0.7752,0.0285,0.5246,0.5531,0.7752,0.5531,1.3283,5622.0,32607.0,101.79,53.4003
20260624_223202,10,random,44,,6,12437,The 2014 'Bendgate' controversy/publicity concerned version 6 of which famous product?,iPhone,"[""Bendgate"", ""Apple iphone 6"", ""IPhone6"", ""IPhone 6+"", ""Bend-gate"", ""Apple iPhone 6"", ""IPhone 6"", ""IPhone 6 Plus"", ""I phone 6 plus"", ""Iphone 6""]",False,0.0,0.9088,0.0003,0.9091,0.0285,0.5254,0.5538,0.9091,0.5538,1.4629,5622.0,32607.0,108.25,56.872
20260624_223202,10,random,44,,7,7378,"According to the Bible, which was the only one of the twelve disciples who was actually present at the foot of the Cross as Jesus was crucified?",John,"[""Saint John"", ""Sinjin"", ""Saint John (city)"", ""Saint John (disambiguation)"", ""St. John"", ""Sint Jan"", ""St John"", ""St john (disambiguation)"", ""St. Jan"", ""St.John""]",False,0.0,0.9042,0.0003,0.9046,0.028,0.5396,0.5676,0.9046,0.5676,1.4722,5622.0,32607.0,106.22,57.3161
20260624_223202,10,random,44,,8,9488,Who played 'Peter Pan' in Spielberg's 'Hook'?,Dustin Hoffman,"[""Robin Willaims"", ""Robin Williams"", ""Susan Schneider"", ""Robin williams"", ""Cody Alan Williams"", ""Marty Fromage"", ""Zachary Pym Williams"", ""Sudy Nim"", ""Zachary Williams"", ""Zak Williams"", ""Robin Williams: Live on Broadway"", ""Pecos Bill (album)"", ""Robbin Williams"", ""Throbbing Python of Love"", ""Robin williams off the wall"", ""Robin McLaurin Williams"", ""Robin williams live on broadway"", ""Valerie Velardi"", ""Ray D. Tutto"", ""Cody A. Williams"", ""Robin McLaurim Williams""]",False,0.0,0.6222,0.0003,0.6225,0.0234,0.5322,0.5556,0.6225,0.5556,1.1781,5622.0,32607.0,112.09,59.6549
20260624_223202,10,random,44,,9,953,"Which fictional character is the subject of George Frampton’s bronze statue in Kensington Gardens, London?",Alice Liddell,"[""Peter Pan (literary character)"", ""Peter Pan (fictional character)"", ""Peter pan"", ""Peter Pan (literature character)"", ""Peter Pan (person)"", ""Peter Pan (character)"", ""Peter Pan"", ""Peter Pan (lierature character)""]",False,0.0001,0.5525,0.0003,0.553,0.0283,0.5245,0.5528,0.553,0.5528,1.1058,5622.0,32607.0,130.2,68.2927
20260624_223202,10,random,44,,10,7362,Which spirit is the base of the cocktails Planter’s Punch and Sundowner?,Rum,"[""Spiced Rum"", ""Spiced rum"", ""Rum"", ""Gunpowder Rum"", ""Rum (beverage)"", ""White rum"", ""Jamaica Spirits"", ""Caña blanca"", ""Dark rum"", ""White Rum"", ""Cuban rum"", ""Jamaica Spirit"", ""Gold rum"", ""Cane spirit"", ""Light rum"", ""Black rum"", ""Rude rum"", ""Hard rum"", ""Overproof rum"", ""Coconut rum""]",True,0.0,0.6181,0.0003,0.6184,0.0278,0.5261,0.5539,0.6184,0.5539,1.1723,5622.0,32607.0,110.96,58.3725
