session_id,num_questions,mode,seed,start_index,question_number_in_session,question_index_in_dataset,question,model_answer,ground_truth_aliases,is_correct,send_request_time,network_latency,receive_response_time,client_total_time,processing_non_inference_time,inference_time,cloud_total_time,communication_time,computation_time,api_total_time,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,energy_joules_estimate
20260624_221349,25,ordered,,0,1,0,Who was the man behind The Chipmunks?,Ross Bagdasarian,"[""David Seville""]",False,0.0,0.6759,0.0002,0.6761,0.0278,0.5245,0.5524,0.6761,0.5524,1.2285,5620.0,32607.0,106.93,56.0894
20260624_221349,25,ordered,,0,2,1,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,"[""Sunset Blvd"", ""West Sunset Boulevard"", ""Sunset Boulevard"", ""Sunset Bulevard"", ""Sunset Blvd.""]",True,0.0,0.8973,0.0002,0.8975,0.0281,0.5242,0.5524,0.8975,0.5524,1.4498,5620.0,32607.0,94.59,49.5873
20260624_221349,25,ordered,,0,3,2,Who was the next British Prime Minister after Arthur Balfour?,David Lloyd George,"[""Sir Henry Campbell-Bannerman"", ""Campbell-Bannerman"", ""Campbell Bannerman"", ""Sir Henry Campbell Bannerman"", ""Henry Campbell Bannerman"", ""Henry Campbell-Bannerman""]",False,0.0,0.7626,0.0004,0.7629,0.0273,0.5264,0.5537,0.7629,0.5537,1.3167,5620.0,32607.0,108.83,57.2914
20260624_221349,25,ordered,,0,4,3,Who had a 70s No 1 hit with Kiss You All Over?,The Bay City Rollers,"[""Internal exile"", ""Exiles"", ""Transported for life"", ""Exile (politics and government)"", ""Voluntary exile"", ""Sent into exile"", ""Exile and Banishment"", ""Self-exile"", ""Forced exile"", ""Exile"", ""Exile in Greek tragedy"", ""Banish"", ""Banishment""]",False,0.0,0.6854,0.0003,0.6857,0.0273,0.5262,0.5535,0.6857,0.5535,1.2393,5620.0,32607.0,106.63,56.111
20260624_221349,25,ordered,,0,5,4,What claimed the life of singer Kathleen Ferrier?,Lung cancer,"[""Cancer pathology"", ""Deaths by cancer"", ""Anti-cancer"", ""Cancer (disease)"", ""Cancerophobia"", ""Malignant lesion"", ""Cancer medication"", ""Malignant tumors"", ""Cancer signs"", ""Malignant neoplasm"", ""Invasive (cancer)"", ""Malignant Neoplasms"", ""Malignant growth"", ""Sporadic cancer"", ""Malignant cancer"", ""Tumour virus"", ""Cancer en cuirasse"", ""Microtumor"", ""Malignant neoplasms"", ""Malignant tumour"", ""Carcinophobia"", ""Malignacy"", ""Cancer patient"", ""Epithelial cancers"", ""Solid cancer"", ""Cancers"", ""Tumor medication"", ""Malignant neoplastic disease"", ""AIDS-related cancer"", ""Invasive cancer"", ""Cancer therapy"", ""Cancerous tumor"", ""Cancer"", ""Financial toxicity"", ""Cancer diagnosis"", ""Cancer (medicine)"", ""Malignant tumor"", ""Cancerous"", ""Borderline (cancer)"", ""Signs of cancer"", ""Malignancies"", ""Cancer aromatase""]",True,0.0,0.6343,0.0004,0.6347,0.0281,0.5265,0.5546,0.6347,0.5546,1.1893,5620.0,32607.0,112.88,59.4312
20260624_221349,25,ordered,,0,6,5,Rita Coolidge sang the title song for which Bond film?,“The Spy Who Loved Me”,"[""Kamal kahn"", ""List of Bond girls in Octopussy"", ""Magda (James Bond)"", ""List of James Bond allies in Octopussy"", ""Vijay (James Bond)"", ""Bond 13"", ""Octopussy (character)"", ""Penelope Smallbone"", ""Octopussy"", ""General Orlov"", ""Kamal Khan"", ""Octopussy (film)"", ""List of James Bond villains in Octopussy"", ""Jim Fanning (James Bond)""]",False,0.0,0.8645,0.0003,0.8648,0.0239,0.5245,0.5484,0.8648,0.5484,1.4132,5620.0,32607.0,118.96,62.3928
20260624_221349,25,ordered,,0,7,6,What was the last US state to reintroduce alcohol after prohibition?,Utah,"[""Utah (State)"", ""Forty-Fifth State"", ""Sports in Utah"", ""Climate of Utah"", ""Education in Utah"", ""UT (state)"", ""Utahn"", ""Yutas"", ""Geography of Utah"", ""Utah"", ""Utah, United States"", ""Utah state nickname"", ""History of mining in Utah"", ""State of Utah"", ""Religion in Utah"", ""Utah (U.S. state)"", ""Transportation in Utah"", ""Beehive State"", ""US-UT"", ""Utah (state)"", ""Forty-fifth State"", ""Utahan"", ""Politics of Utah"", ""Salt Lake Seagulls"", ""45th State"", ""History of Utah (to 1847)"", ""The Beehive State"", ""Youtah"", ""Transport in Utah""]",True,0.0,0.4477,0.0003,0.448,0.028,0.5285,0.5564,0.448,0.5564,1.0045,5620.0,32607.0,136.99,72.3946
20260624_221349,25,ordered,,0,8,7,Which actress was voted Miss Greenwich Village in 1942?,Rita Hayworth,"[""Bacall"", ""Lauren Becal"", ""Lauren Bacall"", ""Lauren Becall"", ""Betty J. Perske"", ""Loren Bacall"", ""Betty Joan Perske"", ""Betty Perske"", ""Betty Joan Perski""]",False,0.0,0.5791,0.0001,0.5793,0.0281,0.5253,0.5535,0.5793,0.5535,1.1328,5620.0,32607.0,117.76,61.8632
20260624_221349,25,ordered,,0,9,8,What is the Japanese share index called?,Nikkei,"[""Nikkei"", ""Nikkei (disambiguation)""]",True,0.0,0.9918,0.0003,0.9921,0.0274,0.5239,0.5513,0.9921,0.5513,1.5434,5620.0,32607.0,99.8,52.2848
20260624_221349,25,ordered,,0,10,9,What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,"[""Walk on the Moon"", ""Walk on the moon"", ""Moonwalk (disambiguation)"", ""Lunar walks"", ""Moonwalk"", ""Moon Walk"", ""Moonwalking"", ""Lunar walk"", ""Moon walk"", ""Moonwalks"", ""Moon walks"", ""Lunar walking"", ""Moon walking""]",True,0.0,0.6706,0.0001,0.6708,0.0275,0.5235,0.551,0.6708,0.551,1.2218,5620.0,32607.0,109.44,57.2905
20260624_221349,25,ordered,,0,11,10,In which decade did stereo records first go on sale?,1950s,"[""1930’s"", ""Thirties"", ""1930s literature"", ""Nineteen-thirties"", ""1930–1939"", ""1930-1939"", ""'30s"", ""1930s"", ""1930's"", ""%6030s"", ""1930s (decade)"", ""The Thirties""]",False,0.0,0.5899,0.0003,0.5902,0.0274,0.5249,0.5523,0.5902,0.5523,1.1426,5620.0,32607.0,116.54,61.1765
20260624_221349,25,ordered,,0,12,11,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1908,"[""In 1912, in Stockholm""]",False,0.0,0.8257,0.0001,0.8258,0.0277,0.5244,0.5522,0.8258,0.5522,1.378,5620.0,32607.0,104.77,54.9452
20260624_221349,25,ordered,,0,13,12,Which volcano in Tanzania is the highest mountain in Africa?,Mount Kilimanjaro,"[""Mawensi"", ""Mt. Kilimanjaro"", ""Kibo (volcano)"", ""Mount killimanjaro"", ""Highest mountain in Africa"", ""Kilimanjaro Massif"", ""Stella Point"", ""Kilimandjaro"", ""Kilimonjaro"", ""Kilimanjaro"", ""Gilman's Point"", ""Killimanjaro"", ""Kilima-Njaro"", ""Kiliminjaro"", ""Mt Kilimanjaro"", ""Kilimanjaro Mountain"", ""Mount Kilimanjaro"", ""Mawenzi"", ""Uhuru Peak"", ""Kilimanjiro"", ""Kaiser-Wilhelm-Spitze"", ""Mt Kilamanjaro"", ""Mount Kiliminjaro"", ""Mount Kilimandjaro"", ""Mount Kilamanjaro"", ""Tussock Grassland (Tanzania)"", ""Kilamanjaro""]",True,0.0,0.6076,0.0003,0.6079,0.0285,0.5248,0.5533,0.6079,0.5533,1.1612,5620.0,32607.0,122.43,64.2499
20260624_221349,25,ordered,,0,14,13,The flag of Libya is a plain rectangle of which color?,Red,"[""Greenishly"", ""Avacado (color)"", ""Green (color)"", ""Rgb(0, 255, 0)"", ""Greenishness"", ""The colour green"", ""Greenest"", ""List of terms associated with the color green"", ""The color green"", ""Green"", ""Pastel green"", ""(0, 255, 0)"", ""Green (colour)"", ""Greenness""]",False,0.0,0.5096,0.0003,0.5099,0.027,0.5235,0.5505,0.5099,0.5505,1.0604,5620.0,32607.0,126.83,66.3919
20260624_221349,25,ordered,,0,15,14,Of which African country is Niamey the capital?,Niger,"[""Niger Republic"", ""Nigerois"", ""Republic Of Niger"", ""Republic of Niger"", ""The Republic of Niger"", ""Nigerien"", ""Niger (country)"", ""République du Niger"", ""Republique du Niger"", ""ISO 3166-1:NE"", ""Niger"", ""NG-NI""]",True,0.0,0.9163,0.0003,0.9166,0.0286,0.5399,0.5685,0.9166,0.5685,1.4851,5620.0,32607.0,106.18,57.3253
20260624_221349,25,ordered,,0,16,15,Who was the director of the CIA from 1976-81?,William Casey,"[""George Bush"", ""George bush"", ""Goerge Bush"", ""George W. Bush (disambiguation)"", ""GeorgeBush"", ""George Bushe"", ""Georgebush"", ""Georg bush"", ""G Bush"", ""George Bush, President"", ""George Bush (disambiguation)"", ""Bush, George"", ""Geroge Bush""]",False,0.0,0.5556,0.0003,0.5559,0.0275,0.5231,0.5506,0.5559,0.5506,1.1064,5620.0,32607.0,120.81,63.1938
20260624_221349,25,ordered,,0,17,16,Which musical featured the song The Street Where You Live?,The Music Man,"[""My Fair Lady (2010 film)"", ""Enry Iggins"", ""Why Can't the English%3F"", ""My Fair Lady"", ""My Fair Lady (upcoming film)"", ""My Fair Lady (musical)"", ""My fair lady"", ""I'm an Ordinary Man"", ""My Fair Lady (2014 film)"", ""My Fair Lady (2012 film)"", ""My Fair Lady (2015 film)""]",False,0.0,0.7751,0.0004,0.7756,0.0285,0.5258,0.5543,0.7756,0.5543,1.3299,5620.0,32607.0,109.64,57.6448
20260624_221349,25,ordered,,0,18,17,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","The target of the failed ""Bomb Plot"" of 1944 was the German Embassy in Washington, D.C.","[""Hitlerian"", ""Adolph Schicklgruber"", ""HitlerAdolf"", ""Hitler's medical health"", ""Adolf Hitle"", ""Hitlar"", ""Adolph Hiedler"", ""Adolf Hiedler"", ""Adolph Hittler"", ""Day of Potsdam"", ""Adolpf Hitler"", ""Adolf Hister"", ""Adolf Hitlier"", ""Adolph Hitler's health"", ""Hitler's health"", ""Hitlers"", ""Aldof Hilter"", ""HITLER"", ""Hitler, Adolph"", ""History of Adolf Hitler"", ""Hitler,Adolph"", ""Adolph Hiter"", ""Adolf Hittler"", ""Herr Hitler"", ""Hitler,Adolf"", ""Adolf Schicklegruber"", ""Adolf hitler"", ""Adlof hitler"", ""Adolph Schickelgruber"", ""Hitler Adolf"", ""Hitlers medical health"", ""HitlerAdolph"", ""Adolph Schicklegruber"", ""Adolf Hiler"", ""Adolf Hitler's medical condition"", ""Hittler"", ""Adolf Schickelgruber"", ""Adolf Hitler"", ""Hitler's"", ""Hitler, adolf"", ""Nazi leader"", ""Hitler, Adolf"", ""Herr Wolf"", ""Adolph Hitler's medical health"", ""Adolph Hitler"", ""Adolf Hitler's health"", ""Adolf Schicklgruber"", ""AdolphHitler"", ""Adolf Hilter"", ""Health of Adolf Hitler"", ""Adolf Hitler's medical health"", ""Hitler Adolph"", ""AdolfHitler"", ""Adolf HItler"", ""Hitlet"", ""Hitler adolf"", ""Adoff Hitler"", ""Adolfus Hitler"", ""Hitler"", ""Adolph hitler""]",False,0.0,0.6121,0.0003,0.6124,0.0233,0.5248,0.5481,0.6124,0.5481,1.1606,5620.0,32607.0,121.52,63.7734
