session_id,num_questions,mode,seed,start_index,question_number_in_session,question_index_in_dataset,question,model_answer,ground_truth_aliases,is_correct,send_request_time,network_latency,receive_response_time,client_total_time,processing_non_inference_time,inference_time,cloud_total_time,communication_time,computation_time,api_total_time,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,energy_joules_estimate
20260624_223215,10,random,45,,1,8908,What was the nickname of the American World War 2 General Joe Stilwell,“The Generalissimo”,"[""Vinegar Joe (disambiguation)"", ""Vinegar Joe""]",False,0.0,0.7581,0.0003,0.7585,0.0274,0.5282,0.5556,0.7585,0.5556,1.3141,5622.0,32607.0,113.53,59.9704
20260624_223215,10,random,45,,2,13686,"""Who, as part of his performance in the 2015 film """"Revenant"""", was realistically eviscerated by a bear on screen?""",Leonardo DiCaprio,"[""Leonardo D%60caprio"", ""Leonardo di Caprio"", ""Leonardo D'caprio"", ""Leonardo Dcaprio"", ""DiCaprio"", ""Atari (film)"", ""Leonard DiCaprio"", ""Leo Di"", ""Leonardo Wilhelm DiCaprio"", ""Leonardo D.Caprio"", ""Leonardo Dicaprio"", ""Leonardo Di Caprio"", ""Leonard Di Caprio"", ""Leonardo D Caprio"", ""The Many Deaths of Barnaby James (film)"", ""Leonardo dicaprio"", ""Portofino (film)"", ""Leonardo Decaprio"", ""Leo DiCaprio"", ""Running Out of Dog"", ""Fleming (film)"", ""Leo dicaprio"", ""Leonardo DeCaprio"", ""Appian Way Productions"", ""Leonardo De Caprio"", ""Running Out of Dog (film)"", ""Leonardo D. Caprio"", ""Leanardo dicaprio"", ""Leonardo D' Caprio"", ""Dicaprio"", ""The Many Deaths of Barnaby James"", ""Di Caprio"", ""Leonardo DiCaprio""]",True,0.0,0.5935,0.0001,0.5936,0.0281,0.5259,0.5541,0.5936,0.5541,1.1477,5622.0,32607.0,121.58,63.9407
20260624_223215,10,random,45,,3,15991,"The Battle of the Plains of Abraham in 1759, a pivotal battle in the Seven Years' War fought between the English and the French, is the only major confrontation ever to have taken place in what country?",Canada,"[""Canada"", ""Canadá"", ""The Dominion of Canada"", ""Commonwealth of Canada"", ""Dominion of canada"", ""ISO 3166-1:CA"", ""Etymology of Canada"", ""CANADA"", ""Canadiophile"", ""Canada's"", ""ᑲᓇᑕ"", ""Canada/References"", ""America's top hat"", ""Canada."", ""Cnada"", ""Čanada"", ""Canadian Federation"", ""Kenadian"", ""Canadialand"", ""Xanada"", ""Dominion of Canada"", ""Canadaa""]",True,0.0,1.2238,0.0001,1.224,0.0278,0.5246,0.5524,1.224,0.5524,1.7764,5622.0,32607.0,92.27,48.4072
20260624_223215,10,random,45,,4,8443,Which 17th/18th century Irish politician leader was nicknamed 'the Liberator”?,Wolfe Tone,"[""'monster meetings'"", ""Daniel O’Connell"", ""Dónal Ó Conaill"", ""Monster meetings"", ""Daniel O'Connell"", ""Dónall Ó Conaill"", ""Danial O'Connell""]",False,0.0,0.5238,0.0003,0.5242,0.0282,0.5242,0.5524,0.5242,0.5524,1.0766,5622.0,32607.0,127.35,66.7606
20260624_223215,10,random,45,,5,2683,Turin lies on which river?,Po,"[""Po (disambiguation)"", "".po (disambiguation)"", ""PO (disambiguation)"", ""Po"", ""Po."", ""P/O"", ""P.o."", ""P O"", ""PO"", ""P.O.""]",True,0.0,0.5778,0.0003,0.5781,0.0291,0.5244,0.5535,0.5781,0.5535,1.1317,5622.0,32607.0,125.41,65.7704
20260624_223215,10,random,45,,6,9934,What online travel agency uses The Roaming Gnome as its' TV spokesperson?,Expedia,"[""AllHotels"", ""Travelocity"", ""Easy Sabre"", ""SAABRE"", ""Eaasy Sabre"", ""Easy Saabre"", ""Travelocity.com"", ""Saabre"", ""Eaasy SABRE"", ""Travelosity"", ""Easy SAABRE"", ""Travelocity Business"", ""The roaming gnome"", ""Easy SABRE""]",False,0.0,0.6843,0.0003,0.6846,0.028,0.5252,0.5532,0.6846,0.5532,1.2378,5622.0,32607.0,114.74,60.258
20260624_223215,10,random,45,,7,11099,Rolf Harris recorded a 1964 single calling for which member of The Beatles ‘For President’?,John Lennon,"[""RINGO"", ""Starr, Ringo"", ""Richard Starkey, Jr."", ""Beatle Ringo"", ""Ringo Star"", ""Richie Snare"", ""Ringo starkey"", ""Ringo Starr"", ""Ringo Starkey"", ""Ringo"", ""Richard Starkey"", ""%22Ringo%22"", ""Richard Starky"", ""Richard Starrkey"", ""Ringo (film)"", ""Richard Starkey Jr."", ""Ringo starr"", ""Richard Henry Parkin Starkey Jr.""]",False,0.0,0.5913,0.0003,0.5916,0.0281,0.5284,0.5565,0.5916,0.5565,1.1481,5622.0,32607.0,128.36,67.8296
20260624_223215,10,random,45,,8,707,The Marquesas Islands lie in which ocean?,Pacific Ocean,"[""Pacific Basin"", ""Oceanum pacificum"", ""Sea of Magellan"", ""Pacific region"", ""PAcific"", ""North Pacific Ocean"", ""Peaceful sea"", ""Eastern Pacific Ocean"", ""Mar del Sur"", ""South-Western Pacific"", ""West Pacific"", ""Eastern Pacific"", ""South Pacific Ocean"", ""North Pacific ocean"", ""South-western Pacific"", ""Pacific Ocean"", ""North Pacific fisheries"", ""Western Pacific Ocean"", ""Southern Pacific Ocean"", ""Pacific (ocean)"", ""Pacific basin"", ""Pacific Oceans"", ""North Pacific"", ""Pacific ocean"", ""Mid-Pacific"", ""Great South Sea"", ""Pacific"", ""Tepre Pacificum"", ""East Pacific""]",True,0.0,0.7995,0.0003,0.7998,0.0282,0.5264,0.5546,0.7998,0.5546,1.3544,5622.0,32607.0,104.23,54.8718
20260624_223215,10,random,45,,9,2370,The magic lantern was an early form of what item of photographic equipment?,projector,"[""SLIDE PROJECTOR"", ""Slide projectors"", ""Slide projector"", ""Slide projection"", ""Film slides""]",False,0.0,0.5949,0.0004,0.5953,0.0276,0.5261,0.5537,0.5953,0.5537,1.149,5622.0,32607.0,125.42,65.9788
20260624_223215,10,random,45,,10,15868,In which Hampshire village is the National Motor Museum?,Beaulieu,"[""Beaulieu"", ""Beaulieu (disambiguation)""]",True,0.0,0.5893,0.0003,0.5897,0.0284,0.5282,0.5566,0.5897,0.5566,1.1463,5622.0,32607.0,123.79,65.388
